YEAR,Below 18 Years,Between 18-30 Years,Between 30-45 Years,Between 45-60 Years,Above 60 Years,Total
2008,1,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,2,3,0,0,5
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,2,0,0,2
2008,0,0,0,0,0,0
2008,0,0,2,2,0,4
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,4,0,0,0,4
2008,0,1,0,0,0,1
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,2,2,0,0,4
2008,0,2,0,0,0,2
2008,1,0,0,0,0,0
2008,1,11,9,2,0,22
2008,0,0,0,0,0,0
2008,1,0,4,0,0,4
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,0,4,0,0,4
2008,1,11,13,2,0,26
2008,0,1,1,0,0,2
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,1,0,0,0,1
2008,0,0,0,0,0,0
2008,1,23,10,1,0,34
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,1,3,0,0,4
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,1,0,0,0,0,0
2008,1,0,0,0,0,0
2008,1,26,14,1,0,41
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,1,26,14,1,0,41
2008,1,3,0,0,0,3
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,2,4,0,0,6
2008,1,0,0,0,0,0
2008,0,1,0,0,0,1
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,0,0,0,0,0
2008,1,0,0,0,0,0
2008,0,6,4,0,0,10
2009,0,0,0,0,0,0
2009,1,0,1,0,0,1
2009,0,0,0,0,0,0
2009,0,0,0,0,0,0
